first_name_left,last_name_left,country_left,first_name_right,last_name_right,country_right,label
Lucía,Hernández,Mexico,Nomi,Bernrad,France,0
Lucía,Ramírez,Mexico,Lucía,Rmaírez,Mexico,1
Chiara,Bianchi,Italy,Chiar,Bianchi,Italy,1
Louis,Moreau,France,René,Durand,France,0
Luís,Santos,Portugal,Hannah,Wagner,Germany,0
Hugo,Moreau,France,Léa,Durand,France,0
Théo,Bernard,France,Léa,Bernard,France,0
Luca,Greco,Italy,Luca,Greco,Italy,1
Inês,Almeida,Portugal,Luis,Martínez,Mexico,0
Valeria,Fernández,Mexico,Valeria,Fernndez,Mexico,1
Rita,Rodrigues,Portugal,Ana,Cravalho,Portugal,0
Francesca,Esposito,Italy,Francesca,Esposito,Italy,1
Iñigo,Pérez,Spain,Sébastien,Richard,France,0
Ana,Carvalho,Portugal,Ana,Carvalho,Portugal,1
Fernanda,Carvalho,Brazil,Giulai,Esposito,Italy,0
Léa,René,France,Léa,René,France,1
Jonas,Schneider,Germany,Jonas,Schneider,Germany,1
Sara,Romano,Italy,Sara,Romaon,Italy,1
José,Ramírez,Mexico,José,Ramríez,Mexico,1
Sergio,Hugentobler,Switzerland,Sergio,Hugentobler,Switzerland,1
Valeria,Martínez,Mexico,Valeria,Martínez,Mexico,1
Gonçalo,Carvalho,Portugal,Pedro,Rodrigues,Portugal,0
Luis,Martínez,Mexico,Lucía,Fernández,Mexico,0
Tobias,Müller,Germany,Käthe,Weiß,Germany,0
Luís,Ferreira,Portugal,Jordi,Álvarez,Spain,0
Luis,Ramírez,Mexico,Luis,Ramírez,Mexico,1
Käthe,Krämer,Germany,Kaethe,Kraemer,Germany,1
Emma,Bernard,France,Emma,Bernard,France,1
Tobias,Hoffmann,Germany,Jonas,Schneider,Germany,0
Jürgen,Krämer,Germany,Juergen,Kraemer,Germany,1
Beatriz,Silva,Portugal,Marta,Lopes,Portugal,0
Marco,Greco,Italy,Marco,Greco,Italy,1
Mariana,Pereira,Brazil,Pedro,Lima,Brazil,0
Hans,Käser,Switzerland,Hans,Käser,Switzerland,1
Hugo,Dubois,France,Hugo,Dubois,France,1
Hans,Schneider,Switzerland,Miguel,Almeida,Portugal,0
Gustavo,Santos,Brazil,scar,Hernndez,Mexico,0
Laura,López,Spain,Óscar,López,Spain,0
Álvaro,López,Spain,lvaro,Lpez,Spain,1
María,Álvarez,Spain,Mraía,Álvarez,Spain,1
Sven,Weiß,Germany,Mariana,Oliveira,Brazil,0
Giulia,Fischer,Switzerland,Franois,Meier,Switzerland,0
Pedro,Gonçalves,Portugal,Sofia,Pereira,Portugal,0
Mariana,Gonçalves,Brazil,Maraina,Gonçalves,Brazil,1
Lea,Schäfer,Germany,Lea,Schaefer,Germany,1
Laura,Martínez,Spain,Pablo,Díaz,Spain,0
João,Lopes,Portugal,Joo,Lopes,Portugal,1
Tobias,Weiß,Germany,Sven,Hoffmann,Germany,0
Hannah,Schäfer,Germany,Hannah,Schäfre,Germany,1
Hannah,Weiß,Germany,Juerg,Fischer,Switzerland,0
Miguel,Santos,Brazil,Miguel,Santos,Brazil,1
Mélanie,Müller,Switzerland,Mélanie,Müller,Switzerland,1
Noémie,Durand,France,Sébastien,Laurent,France,0
Lea,Groß,Germany,Lea,Groß,Germany,1
Camille,Garcia,France,Emma,Garica,France,0
José,Pérez,Spain,Ana,íDaz,Spain,0
René,Bernard,France,Emma,Laurent,France,0
Rita,Rodrigues,Portugal,Rita,Rodrigues,Portugal,1
Pablo,Díaz,Spain,Óscar,Sánchez,Spain,0
Marta,Santos,Portugal,Sofia,Santos,Portugal,0
Giuseppe,Ferrari,Italy,Giuseppe,Ferrari,Italy,1
Mariana,Oliveira,Brazil,Mariana,Oliveira,Brazil,1
Jürg,Hofmann,Switzerland,Noah,Weiss,Switzerland,0
Sabine,Müller,Germany,Sabine,Mueller,Germany,1
Óscar,Martínez,Spain,Jesús,López,Spain,0
Sven,Fischer,Germany,Sven,Fischer,Germany,1
Beatriz,Rodrigues,Portugal,Beatriz,Rodrigues,Portugal,1
José,Fernández,Spain,Jesú,Díaz,Spain,0
Léa,Dubois,France,Hervé,Durand,France,0
Jürg,Hugentobler,Switzerland,Jürg,Hugentobler,Switzerland,1
Gonçalo,Carvalho,Portugal,Gonçalo,Carvalho,Portugal,1
Luis,Pérez,Mexico,Luis,Pérez,Mexico,1
Pablo,Álvarez,Spain,Pablo,Álvarez,Spain,1
Elena,Weiss,Switzerland,François,Käser,Switzerland,0
Sven,Fischer,Germany,Sven,Fischer,Germany,1
Jürg,Keller,Switzerland,üJrg,Keller,Switzerland,1
Lukas,Meier,Switzerland,Lukas,Meier,Switzerland,1
Bruno,Oliveira,Brazil,Gustavo,Cravalho,Brazil,0
Matteo,Meier,Switzerland,Giulai,Meier,Switzerland,0
Jürgen,Krämer,Germany,Jonas,Gross,Germany,0
Alessandro,Ferrari,Italy,Alessandro,Ferrari,Italy,1
Gonçalo,Silva,Portugal,Gonçal,Silva,Portugal,1
Valeria,Hernández,Mexico,Sofa,Prez,Mexico,0
Miguel,Silva,Portugal,Ana,Ferreira,Portugal,0
René,Torres,Mexico,Ren,Torres,Mexico,1
Jordi,Álvarez,Spain,Jordi,Álvarez,Spain,1
Pablo,García,Spain,Laur,Pérez,Spain,0
Giuseppe,Esposito,Italy,Giusepp,Espostio,Italy,1
Jonas,Groß,Germany,Jonas,Groß,Germany,1
Luís,Pereira,Portugal,Lusí,Pereira,Portugal,1
Hervé,Durand,France,René,Petit,France,0
Pedro,Carvalho,Portugal,Perdo,Carvalho,Portugal,1
Noah,Grüter,Switzerland,Noah,Grüter,Switzerland,1
Óscar,Hernández,Mexico,Óscar,Hernández,Mexico,1
Sara,Greco,Italy,Sofía,López,Mexico,0
Gustavo,Santos,Brazil,Camila,Silva,Brazil,0
Miguel,Lopes,Portugal,Marta,Ferreira,Portugal,0
María,Muñoz,Mexico,Mara,Muoz,Mexico,1
Francesco,Rossi,Italy,Marco,Bianchi,Italy,0
Chiara,Romano,Italy,Chiara,Romano,Italy,1
Léa,Petit,France,Léa,Petti,France,1
Luís,Silva,Portugal,Rita,Fernandes,Portugal,0
Jonas,Schneider,Germany,Jonas,Schneider,Germany,1
Sabine,Weiß,Germany,Sabine,Weiss,Germany,1
Sergio,Fischer,Switzerland,Sergio,Fischer,Switzerland,1
Hans,Hofmann,Switzerland,Pedro,Ferreira,Portugal,0
Andrés,Fernández,Mexico,Sven,Schmidt,Germany,0
Miguel,Almeida,Portugal,Pedro,iLma,Brazil,0
Sofia,Almeida,Portugal,Sofia,Almeida,Portugal,1
José,López,Spain,Jos,Lepz,Spain,1
Nina,Müller,Germany,Nina,Mueller,Germany,1
Jordi,Gómez,Spain,Ana,López,Spain,0
Pablo,Martínez,Spain,María,Álvarez,Spain,0
Noah,Käser,Switzerland,Hans,Weiss,Switzerland,0
Pedro,Almeida,Portugal,Pedro,Almeida,Portugal,1
Hervé,Richard,France,Hervé,Richard,France,1
Camila,Rocha,Brazil,Mariana,Rocha,Brazil,0
Andrés,Pérez,Mexico,Andrsé,Pérez,Mexico,1
Giuseppe,Colombo,Italy,Luca,Ferrari,Italy,0
Inês,Gonçalves,Portugal,Ins,Gonalves,Portugal,1
Ana,Santos,Portugal,Ana,Santos,Portugal,1
Miguel,Pérez,Mexico,Luis,López,Mexico,0
Francesca,Greco,Italy,Francesco,Greco,Italy,0
Camila,Fernandes,Brazil,Camila,Fernandes,Brazil,1
Pedro,Silva,Brazil,Jrgen,Mller,Germany,0
Marta,Almeida,Portugal,aMrta,Almeida,Portugal,0
Beatriz,Rodrigues,Portugal,Laé,Meier,Switzerland,0
Carlos,Hernández,Mexico,Carlo,Hernández,Mexico,1
Camila,Gonçalves,Brazil,Camila,Liam,Brazil,0
Sara,Ricci,Italy,Elna,Bianchi,Italy,0
Maxime,Schneider,Switzerland,Mateto,Müller,Switzerland,0
Nina,Wagner,Germany,Nina,Wagner,Germany,1
Óscar,Fernández,Mexico,Óscar,Fernández,Mexico,1
René,Garcia,France,René,Gacria,France,1
João,Santos,Portugal,João,Santos,Portugal,1
José,Martínez,Mexico,José,Martínez,Mexico,1
Sébastien,Moreau,France,Sébastien,Moreau,France,1
Inês,Rodrigues,Portugal,Pedro,oLpes,Portugal,0
Giulia,Romano,Italy,Giulia,Romano,Italy,1
Lena,Fischer,Germany,Sabine,Schmidt,Germany,0
Camila,Gonçalves,Brazil,Rafaela,Oliveira,Brazil,0
Iñigo,Pérez,Spain,Óscar,López,Spain,0
Rogério,Fernandes,Brazil,Maxime,Meier,Switzerland,0
Chiara,Ferrari,Italy,Chiara,Ferrair,Italy,1
Lucía,Martínez,Spain,lvaor,Daz,Spain,0
Beatriz,Gonçalves,Portugal,Beatriz,Gonçalves,Portugal,1
Théo,Bernard,France,Louis,Lefèvre,France,0
Lukas,Grüter,Switzerland,uLkas,Grüter,Switzerland,1
Noémie,Richard,France,Noémie,Richard,France,1
Hannah,Wagner,Germany,Jesús,Torres,Mexico,0
Valeria,López,Mexico,Carlos,Martínez,Mexico,0
Rafaela,Santos,Brazil,Rafaela,Santos,Brazil,1
Chiara,Ricci,Italy,Chiara,Ricci,Italy,1
Francesca,Bianchi,Italy,Miguel,Muñoz,Mexico,0
Pedro,Oliveira,Brazil,Pedro,Oliveira,Brazil,1
Lukas,Schneider,Germany,Lukas,Mueller,Germany,0
María,Ramírez,Mexico,Carlo,Muñoz,Mexico,0
Lucía,Fernández,Spain,Alessandro,Romano,Italy,0
Jordi,Pérez,Spain,Jord,Prez,Spain,1
Lukas,Schäfer,Germany,Lena,Mueller,Germany,0
Rafaela,Souza,Brazil,Rafaela,Suoza,Brazil,1
Camila,Pereira,Brazil,Jonas,Gro,Germany,0
Álvaro,Sánchez,Spain,Nina,Schneider,Germany,0
Rogério,Oliveira,Brazil,Rogério,Oliveira,Brazil,1
Jürgen,Weiß,Germany,Jürgne,Weiß,Germany,1
Mélanie,Keller,Switzerland,Mlanie,Keller,Switzerland,1
Álvaro,Pérez,Spain,Álvaro,Pérez,Spain,1
Óscar,Flores,Mexico,Óscra,Flores,Mexico,1
Sébastien,Moreau,France,Sabine,Fischer,Germany,0
Mariana,Santos,Brazil,Maraina,Santos,Brazil,1
Fernanda,Silva,Brazil,Mairana,Rocha,Brazil,0
Günter,Fischer,Germany,Käthe,Weiß,Germany,0
Tobias,Groß,Germany,Sven,Wagner,Germany,0
Óscar,López,Mexico,Óscar,López,Mexico,1
Beatriz,Gonçalves,Portugal,Beatriz,Gonalves,Portugal,1
Louis,Bernard,France,Théo,Bernard,France,0
Giorgia,Ferrari,Italy,Giorgia,Ferrari,Italy,1
René,René,France,Gonçalo,Sliva,Portugal,0
Chiara,Colombo,Italy,Chiara,Esposito,Italy,0
Giuseppe,Esposito,Italy,Giuseppe,Esposito,Italy,1
Nina,Schmidt,Germany,Günter,Schäfer,Germany,0
Sven,Schäfer,Germany,Juergen,Schmidt,Germany,0
Louis,Richard,France,Hannah,Scähfer,Germany,0
Óscar,García,Mexico,scar,Garca,Mexico,1
Luís,Ferreira,Portugal,Luís,Ferreira,Portugal,0
Gustavo,Gonçalves,Brazil,Rogério,Oliveira,Brazil,0
João,Carvalho,Portugal,Tiago,Almeida,Portugal,0
Miguel,Carvalho,Portugal,Pedro,Gonalves,Portugal,0
Sara,Ricci,Italy,Alessnadro,Greco,Italy,0
Andrés,Ramírez,Mexico,Lauar,Álvarez,Spain,0
Jordi,Martínez,Spain,Jordi,Martínez,Spain,1
Lea,Schäfer,Germany,Kaethe,Weiss,Germany,0
Jesús,Gómez,Spain,Jessú,Pérez,Spain,0
José,Martínez,Spain,Jos,Martnez,Spain,1
Léa,Käser,Switzerland,Hans,Kaeser,Switzerland,0
Sara,Greco,Italy,Sara,Greco,Italy,1
Pedro,Gonçalves,Brazil,Pedro,Gonalves,Brazil,1
Jesús,Pérez,Mexico,Jesús,Pérez,Mexico,1
Marco,Russo,Italy,Marco,Rsuso,Italy,1
Sébastien,Dubois,France,Sébastien,Dubois,France,1
Jesús,Álvarez,Spain,Iñigo,Fernández,Spain,0
Francesca,Romano,Italy,Sara,Espoisto,Italy,0
Inês,Almeida,Portugal,Inês,lAmeida,Portugal,1
Gustavo,Lima,Brazil,Jorid,Muñoz,Spain,0
Sergio,Hugentobler,Switzerland,Sergio,Hugentobler,Switzerland,1
Pedro,Fernandes,Portugal,João,Ferreira,Portugal,0
Günter,Schneider,Germany,Jesús,Ramírez,Mexico,0
Noémie,Lefèvre,France,Sébastien,Luarent,France,0
Lena,Schneider,Germany,Sabine,Schneider,Germany,0
João,Carvalho,Brazil,Bruno,Oliveira,Brazil,0
José,Martínez,Spain,Laura,Gmóez,Spain,0
Matteo,Ricci,Italy,Ana,Fernndez,Spain,0
Jürg,Hugentobler,Switzerland,Jrg,Hugentobler,Switzerland,1
Ana,Díaz,Spain,Ana,íDaz,Spain,1
Emma,Laurent,France,Emma,Laurent,France,1
Jürg,Hugentobler,Switzerland,Jrg,Hugentobler,Switzerland,1
Lucía,Ramírez,Mexico,Luca,Ramrez,Mexico,1
René,Ramírez,Mexico,Jos,aMrtnez,Mexico,0
Elena,Keller,Switzerland,Elena,Keller,Switzerland,1
Valeria,Torres,Mexico,María,Muñoz,Mexico,0
María,Torres,Mexico,Nina,Krämer,Germany,0
Léa,Hugentobler,Switzerland,Jordi,Sánchez,Spain,0
Lukas,Fischer,Switzerland,La,Schneider,Switzerland,0
Luis,Pérez,Mexico,Luis,García,Mexico,0
Sergio,Schneider,Switzerland,François,Hugentobler,Switzerland,0
Álvaro,Martínez,Spain,Álvaro,Martínez,Spain,1
Élodie,Lefèvre,France,Élodie,Lefèvre,France,0
Noah,Meier,Switzerland,Noah,Weiss,Switzerland,0
Lucía,Torres,Mexico,Lucía,Torres,Mexico,1
Louis,Durand,France,Noémie,Moreau,France,0
Lucía,López,Mexico,Luis,López,Mexico,0
Luis,Fernández,Mexico,Luis,Fernndze,Mexico,1
Óscar,Fernández,Spain,Elena,Hofmann,Switzerland,0
Rogério,Santos,Brazil,oRgério,Santos,Brazil,1
Marta,Pereira,Portugal,Marta,Pereira,Portugal,1
Luis,Torres,Mexico,Mara,Fernndez,Mexico,0
Camille,Laurent,France,Camille,Laurent,France,1
Hannah,Schmidt,Germany,Hannah,Schmidt,Germany,1
Pedro,Carvalho,Brazil,Pedro,Carvalho,Brazil,1
Óscar,García,Spain,José,Pérze,Spain,0
Álvaro,Álvarez,Spain,lvrao,vlarez,Spain,1
Inês,Almeida,Portugal,Inês,Almeida,Portugal,1
Jordi,Muñoz,Spain,Jordi,Muñoz,Spain,1
Günter,Hoffmann,Germany,Günter,Hoffmann,Germany,1
Tiago,Santos,Portugal,Pedro,Rodirgues,Portugal,0
Lukas,Müller,Germany,Luksa,Müller,Germany,1
Jordi,Gómez,Spain,Jordi,Gómez,Spain,1
Jesús,López,Spain,Sraa,Ricci,Italy,0
Emma,Laurent,France,Emma,Luarent,France,1
María,López,Mexico,Lucía,García,Mexico,0
Camila,Oliveira,Brazil,Camila,Oliveira,Brazil,1
Jesús,Díaz,Spain,Jesús,íDaz,Spain,1
Óscar,López,Mexico,scar,Torres,Mexico,0
Rafaela,Lima,Brazil,Luísa,Santos,Brazil,0
Hannah,Groß,Germany,Maxime,Fischer,Switzerland,0
Gustavo,Lima,Brazil,Tobias,Ficsher,Germany,0
Sofia,Lopes,Portugal,Jesús,López,Mexico,0
Marta,Santos,Portugal,Sofia,Rodrigues,Portugal,0
Léa,Dubois,France,Léa,Dubois,France,1
Laura,López,Spain,José,óGmez,Spain,0
Luca,Rossi,Italy,Luca,Rossi,Italy,1
Mélanie,Müller,Switzerland,La,Kaeser,Switzerland,0
José,Fernández,Mexico,José,Fernández,Mexico,1
Sabine,Fischer,Germany,Sabine,Fischer,Germany,1
René,Ramírez,Mexico,Emma,René,France,0
Mélanie,Grüter,Switzerland,Mélanie,Gürter,Switzerland,1
Sven,Schneider,Germany,Jonas,Mueller,Germany,0
René,Ramírez,Mexico,René,Ramírez,Mexico,1
Lea,Schäfer,Germany,Sven,Fischer,Germany,0
Maxime,Hugentobler,Switzerland,Giulia,Fischer,Switzerland,0
Camila,Lima,Brazil,Bruno,iLma,Brazil,0
Andrés,García,Mexico,Andrsé,García,Mexico,1
Matteo,Meier,Switzerland,Matte,Meier,Switzerland,1
Inês,Fernandes,Portugal,Inês,Fernandes,Portugal,1
Francesca,Bianchi,Italy,Francesca,Bianchi,Italy,1
María,Martínez,Spain,María,Martínez,Spain,1
Beatriz,Lopes,Portugal,Beatriz,Lopes,Portugal,1
Nina,Krämer,Germany,iNna,Krämer,Germany,1
Iñigo,Álvarez,Spain,Iñigo,Álvarez,Spain,1
Francesca,Colombo,Italy,Francesca,Colombo,Italy,1
René,Flores,Mexico,María,Pérez,Mexico,0
Jesús,López,Spain,Jesús,López,Spain,1
Jordi,Sánchez,Spain,Jordi,Sánchez,Spain,1
Jürg,Hugentobler,Switzerland,Jürg,Hugentobler,Switzerland,1
Ana,Silva,Brazil,Ana,Silva,Brazil,1
Rogério,Souza,Brazil,oRgério,Souza,Brazil,1
Pedro,Souza,Brazil,Pedro,Souza,Brazil,1
Camila,Souza,Brazil,Lukas,Hoffmann,Germany,0
Louis,Lefèvre,France,Hervé,Lefèvre,France,0
Chloé,Moreau,France,Chloé,Moreau,France,1
Fernanda,Santos,Brazil,oJo,Rocha,Brazil,0
Sergio,Keller,Switzerland,Noah,Grter,Switzerland,0
Andrés,Pérez,Mexico,Andrs,Prez,Mexico,1
José,Álvarez,Spain,Iñigo,Pérez,Spain,0
Lea,Krämer,Germany,José,Fernández,Spain,0
Hannah,Müller,Germany,Hannah,Mller,Germany,1
Jesús,Pérez,Mexico,Jesús,Pérez,Mexico,1
Käthe,Fischer,Germany,Ktähe,Fischer,Germany,1
Chloé,Bernard,France,Chloé,Bernard,France,1
Lucía,Muñoz,Spain,Lucía,Muñoz,Spain,1
Jonas,Schneider,Germany,Jona,Scnheider,Germany,1
Giulia,Greco,Italy,Giulia,Romano,Italy,0
Maxime,Fischer,Switzerland,Maxime,Fischer,Switzerland,1
Lucía,Muñoz,Spain,Lucía,Muñoz,Spain,1
Giulia,Fischer,Switzerland,Giulia,Fischer,Switzerland,1
Iñigo,Martínez,Spain,Iñigo,Martínez,Spain,1
Pedro,Lima,Brazil,Pedro,Lima,Brazil,1
Hervé,Bernard,France,Hervé,Bernard,France,1
Lena,Groß,Germany,Jonas,Groß,Germany,0
Sara,Ricci,Italy,Marco,Bianchi,Italy,0
Jonas,Groß,Germany,Nian,Krmer,Germany,0
Francesco,Ricci,Italy,Francesco,Ricci,Italy,1
Lucía,Muñoz,Mexico,Andrés,Fernández,Mexico,0
Lena,Fischer,Germany,Lena,Fischer,Germany,1
Luísa,Santos,Brazil,Luísa,Santos,Brazil,1
Jürgen,Groß,Germany,Kaethe,Weiss,Germany,0
Óscar,Muñoz,Mexico,Ósca,Muñoz,Mexico,1
María,Sánchez,Spain,Mara,Snchez,Spain,1
Iñigo,Álvarez,Spain,Jrodi,Sánchez,Spain,0
Francesca,Ricci,Italy,Francesca,iRcci,Italy,1
François,Müller,Switzerland,Giulia,Schneider,Switzerland,0
Jürgen,Schneider,Germany,Nian,Kärmer,Germany,0
Sofía,García,Mexico,Sofía,García,Mexico,1
Lukas,Schäfer,Germany,Lukas,Schaefer,Germany,1
Jesús,Sánchez,Spain,Jesús,Sánchez,Spain,1
Ana,Martínez,Spain,Ana,Matrínez,Spain,1
Lukas,Groß,Germany,Lukas,Gro,Germany,1
René,Martínez,Mexico,Luis,Prez,Mexico,0
Rafaela,Santos,Brazil,Rafaela,Santos,Brazil,1
Sergio,Pérez,Spain,Sergi,Pérez,Spain,1
Mélanie,Weiss,Switzerland,Noah,Käser,Switzerland,0
Luca,Bianchi,Italy,Luca,Bianchi,Italy,1
Lucía,Martínez,Mexico,Miguel,López,Mexico,0
Théo,Bernard,France,René,Richard,France,0
Lena,Schneider,Germany,Sven,Wagner,Germany,0
René,Lefèvre,France,Noémie,Moreau,France,0
Rafaela,Souza,Brazil,Rafaela,Souza,Brazil,1
René,Laurent,France,Carlos,Ramrez,Mexico,0
Miguel,Lopes,Portugal,Líusa,Silva,Brazil,0
Valeria,García,Mexico,José,Ramírez,Mexico,0
Hervé,Moreau,France,Laura,Prez,Spain,0
Marco,Romano,Italy,Marco,Romano,Italy,1
Óscar,Díaz,Spain,Pablo,Díaz,Spain,0
Giulia,Marino,Italy,Giulia,Marino,Italy,1
Óscar,Fernández,Spain,Laura,Pérez,Spain,0
Pedro,Rodrigues,Portugal,Marta,Santos,Portugal,0
Sébastien,René,France,Sébastien,René,France,1
Louis,Garcia,France,Loui,Garcia,France,1
Gonçalo,Almeida,Portugal,Gonalo,Almeida,Portugal,1
Giulia,Esposito,Italy,Giulia,Bianchi,Italy,0
Emma,Durand,France,Emma,Durand,France,1
Jordi,Díaz,Spain,Jordi,Díaz,Spain,1
Giorgia,Marino,Italy,Giorgia,Marino,Italy,1
Miguel,Martínez,Mexico,Miguel,Martínez,Mexico,1
Álvaro,Muñoz,Spain,lvaro,Mouz,Spain,1
Günter,Weiß,Germany,Lea,Schmidt,Germany,0
Jürg,Fischer,Switzerland,Juerg,Fischer,Switzerland,1
Lena,Weiß,Germany,Lena,Weiß,Germany,1
Mélanie,Weiss,Switzerland,Mélanie,Weiss,Switzerland,1
Lukas,Müller,Switzerland,Lukas,Mueller,Switzerland,1
José,Pérez,Mexico,José,éPrez,Mexico,1
Óscar,Sánchez,Spain,Lukas,Schneider,Switzerland,0
Inês,Lopes,Portugal,Inês,Lopes,Portugal,1
Sofía,Flores,Mexico,Valeria,García,Mexico,0
René,René,France,oNémie,Durand,France,0
Luca,Marino,Italy,Luca,Marino,Italy,1
João,Lima,Brazil,ePdro,Pereira,Brazil,0
Lukas,Hugentobler,Switzerland,Noah,Meier,Switzerland,0
Jordi,Fernández,Spain,lvaro,Gmez,Spain,0
Camille,René,France,Camille,Ren,France,1
Lea,Weiß,Germany,Sven,Hoffmann,Germany,0
Jonas,Schneider,Germany,Lukas,Wagner,Germany,0
Lucía,Martínez,Mexico,Lucaí,Martínez,Mexico,1
Marco,Russo,Italy,Marco,Russo,Italy,1
Lena,Krämer,Germany,Lena,Krämer,Germany,1
Sergio,Gómez,Spain,Sergi,Gómez,Spain,1
Ana,Álvarez,Spain,Hannah,Hoffmann,Germany,0
Andrés,Hernández,Mexico,Jess,Martnez,Mexico,0
Tiago,Silva,Portugal,Marta,Rodrigues,Portugal,0
Lukas,Hugentobler,Switzerland,Franoi,Keller,Switzerland,0
Giulia,Hugentobler,Switzerland,Giulia,Hugentobler,Switzerland,1
Hannah,Fischer,Germany,Hannah,Fischer,Germany,1
Alessandro,Rossi,Italy,Giulia,Russo,Italy,0
Hervé,Dubois,France,Herv,Dubois,France,1
Louis,Lefèvre,France,Loui,Lefvre,France,1
Inês,Gonçalves,Portugal,Rita,Lopes,Portugal,0
Giulia,Bianchi,Italy,Laura,Prez,Spain,0
Léa,Bernard,France,La,Beranrd,France,1
Miguel,Gonçalves,Brazil,Miguel,Pereira,Brazil,0
José,Muñoz,Spain,José,Muñoz,Spain,1
Élodie,Moreau,France,Élodie,Moreau,France,1
Jordi,López,Spain,Jordi,López,Spain,1
Mariana,Gonçalves,Brazil,Marian,Gonçalves,Brazil,1
Sabine,Fischer,Germany,Sabine,Fischer,Germany,1
Jürg,Schneider,Switzerland,Hnas,Hofmann,Switzerland,0
João,Ferreira,Portugal,Marta,Alemida,Portugal,0
Jesús,Flores,Mexico,Jesús,Flores,Mexico,1
Lucía,García,Spain,Lucía,García,Spain,1
Fernanda,Santos,Brazil,Pedro,Fernandes,Brazil,0
Tobias,Wagner,Germany,Sabin,Weiß,Germany,0
Ana,López,Spain,Ana,López,Spain,1
Günter,Krämer,Germany,Günte,Krämer,Germany,1
Jürgen,Krämer,Germany,Jürgen,Krämer,Germany,1
Rita,Rodrigues,Portugal,Rita,Rodrigues,Portugal,1
Camila,Silva,Brazil,Camila,Silva,Brazil,1
Matteo,Käser,Switzerland,Matteo,Keaser,Switzerland,1
Lena,Müller,Germany,Lena,Mueller,Germany,1
Noah,Müller,Switzerland,Noah,Müller,Switzerland,1
Jonas,Wagner,Germany,Jonas,Wagner,Germany,1
Luís,Almeida,Portugal,Gnter,Wagner,Germany,0
Sara,Ferrari,Italy,Sara,Ferrari,Italy,1
Giulia,Rossi,Italy,Luca,Esposito,Italy,0
Andrés,Pérez,Mexico,Andrés,Pérez,Mexico,1
Sara,Russo,Italy,Elna,Esposito,Italy,0
Maxime,Hugentobler,Switzerland,François,Müller,Switzerland,0
Mariana,Fernandes,Brazil,Mariana,Fernandes,Brazil,1
Elena,Schneider,Switzerland,Juerg,Meier,Switzerland,0
José,Fernández,Spain,Hugo,René,France,0
Alessandro,Ferrari,Italy,Beatriz,Rodrigues,Portugal,0
Miguel,Martínez,Mexico,Miguel,Martnez,Mexico,1
Maxime,Grüter,Switzerland,Giulia,Meier,Switzerland,0
Hervé,Dubois,France,Herv,Dubois,France,1
Beatriz,Gonçalves,Portugal,Beatriz,Gonalves,Portugal,1
Käthe,Müller,Germany,Käthe,Müller,Germany,1
Camille,Moreau,France,Camille,Laurent,France,0
Carlos,Ramírez,Mexico,Carlos,Ramírez,Mexico,1
Óscar,López,Spain,scar,Lepz,Spain,1
Miguel,Silva,Brazil,Fernanda,Silva,Brazil,0
Hannah,Krämer,Germany,Ana,Santos,Brazil,0
Luísa,Carvalho,Brazil,José,López,Mexico,0
José,Hernández,Mexico,Hugo,Dubois,France,0
Louis,Richard,France,Hugo,Lefèvre,France,0
Maxime,Weiss,Switzerland,Hans,Grter,Switzerland,0
Lucía,Álvarez,Spain,Lucía,Garcaí,Spain,0
Iñigo,Muñoz,Spain,Iñigo,Muñoz,Spain,1
Chloé,René,France,Jesús,López,Spain,0
Sergio,López,Spain,Marí,Sánchez,Spain,0
Chloé,Richard,France,Chlo,Richard,France,1
Matteo,Hofmann,Switzerland,Matteo,Hofmann,Switzerland,1
Hervé,Moreau,France,Herv,Moreau,France,1
Camille,Petit,France,Chlo,Richard,France,0
Noah,Schneider,Switzerland,Noah,Scnheider,Switzerland,1
Álvaro,García,Spain,Álvaro,García,Spain,1
Luísa,Oliveira,Brazil,Luís,Oliveira,Brazil,1
Camila,Pereira,Brazil,Camila,Pereira,Brazil,1
Rita,Rodrigues,Portugal,Mart,Gonalves,Portugal,0
Lea,Wagner,Germany,Lea,Wagner,Germany,1
Maxime,Schneider,Switzerland,Maxime,Schneider,Switzerland,1
Nina,Fischer,Germany,Nina,Schneider,Germany,0
João,Santos,Brazil,João,Caravlho,Portugal,0
Hannah,Hoffmann,Germany,Franois,Meier,Switzerland,0
Mélanie,Grüter,Switzerland,Mélanie,Grüter,Switzerland,1
Léa,Durand,France,Léa,Durand,France,1
Tobias,Groß,Germany,Sabine,Schneider,Germany,0
Sara,Rossi,Italy,Francesco,Greco,Italy,0
Gustavo,Lima,Brazil,Gustavo,Lima,Brazil,1
Gonçalo,Gonçalves,Portugal,Gustavo,Gonalves,Brazil,0
Jordi,García,Spain,Jorid,García,Spain,1
Hervé,Bernard,France,Camille,Lefèvre,France,0
José,Díaz,Spain,José,Díaz,Spain,1
João,Santos,Brazil,João,Sanots,Brazil,1
Lucía,Fernández,Mexico,Lucía,Fernández,Mexico,1
Lukas,Keller,Switzerland,Lukas,Keller,Switzerland,1
Sébastien,Moreau,France,Miguel,Carvalho,Brazil,0
Mélanie,Hofmann,Switzerland,Mélanie,Hofmann,Switzerland,1
Lea,Krämer,Germany,Lea,Krmer,Germany,1
João,Santos,Brazil,Matteo,aKeser,Switzerland,0
Luís,Santos,Portugal,Luís,Santos,Portugal,1
